,step degrees: ,12,substeps: ,3,step time: ,2000,,,,,,,,,,,,,,,
,Sub-angle: ,4,Ex: ,8.8749,Ey: ,5.0475,,"Rotation of a 2D vector (x,y) through anti-clockwise angle B",,,,,,,,,,,,,
,,,,,,,,  Xr = X*cosB - Y*sinB,,,,,,,,,,,,,
,,,,,,,,  Yr = X*sinB + Y*cosB,,,,,,,,,,,,18.62,-14.79
,,,,,,,,,,,,,,,,,,,,17.54,-16.05
,LEG 1,,,LEG 2,,,LEG 3,,,LEG 4,,,LEG 5,,,LEG 6,,,,16.38,-17.24
,X,Y,,X,Y,,X,Y,,X,Y,,X,Y,,X,Y,,,15.14,-18.34
0,18.619,-14.792,,0.000,-20.709,,-18.619,-14.792,,18.619,14.792,,0.000,20.723,,-18.619,14.792,,,0.00,-20.71
1,17.542,-16.055,,-1.445,-20.659,,-19.606,-13.457,,19.605,13.457,,1.446,20.672,,-17.542,16.055,,,-1.44,-20.66
2,16.379,-17.239,,-2.882,-20.507,,-20.497,-12.057,,20.496,12.056,,2.884,20.521,,-16.379,17.239,,,-2.88,-20.51
3,15.137,-18.340,,-4.306,-20.256,,-21.288,-10.597,,21.288,10.597,,4.309,20.270,,-15.137,18.340,,,-4.31,-20.26
,,,,,,,,,,,,,,,,,,,,-18.62,-14.79
,LEG 1,,,LEG2,,,LEG3,,,LEG4,,,LEG5,,,LEG6,,,,-19.61,-13.46
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,-20.50,-12.06
,,,,,,,,,,,,,,,,,,,,-21.29,-10.60
,18.62,-14.79,-10.60,-4.31,-20.26,-7.60,-18.62,-14.79,-10.60,21.29,10.60,-7.60,0.00,20.72,-10.60,-15.14,18.34,-7.60,,18.62,14.79
,,,,,,,,,,,,,,,,,,,,19.61,13.46
,17.54,-16.05,-10.60,-2.88,-20.51,-7.60,-19.61,-13.46,-10.60,20.50,12.06,-7.60,1.45,20.67,-10.60,-16.38,17.24,-7.60,,20.50,12.06
,16.38,-17.24,-10.60,-1.44,-20.66,-7.60,-20.50,-12.06,-10.60,19.61,13.46,-7.60,2.88,20.52,-10.60,-17.54,16.05,-7.60,,21.29,10.60
,15.14,-18.34,-10.60,0.00,-20.71,-7.60,-21.29,-10.60,-10.60,18.62,14.79,-7.60,4.31,20.27,-10.60,-18.62,14.79,-7.60,,0.00,20.72
,,,,,,,,,,,,,,,,,,,,1.45,20.67
,15.14,-18.34,-7.60,0.00,-20.71,-10.60,-21.29,-10.60,-7.60,18.62,14.79,-10.60,4.31,20.27,-7.60,-18.62,14.79,-10.60,,2.88,20.52
,,,,,,,,,,,,,,,,,,,,4.31,20.27
,16.38,-17.24,-7.60,-1.44,-20.66,-10.60,-20.50,-12.06,-7.60,19.61,13.46,-10.60,2.88,20.52,-7.60,-17.54,16.05,-10.60,,-18.62,14.79
,17.54,-16.05,-7.60,-2.88,-20.51,-10.60,-19.61,-13.46,-7.60,20.50,12.06,-10.60,1.45,20.67,-7.60,-16.38,17.24,-10.60,,-17.54,16.05
,18.62,-14.79,-7.60,-4.31,-20.26,-10.60,-18.62,-14.79,-7.60,21.29,10.60,-10.60,0.00,20.72,-7.60,-15.14,18.34,-10.60,,-16.38,17.24
,,,,,,,,,,,,,,,,,,,,-15.14,18.34
